researcher_id,travel_type,month,country,continent,emission
0,Flight,2023-03-01,BE,EU,114.68624833110815
0,Flight,2023-01-01,ES,EU,134.86486486486484
0,Train,2023-02-01,GB,EU,14.146567717996291
1,Flight,2023-11-01,US,NA,1764.4859813084113
1,Flight,2023-02-01,AT,EU,185.05747126436785
1,Flight,2023-06-01,US,NA,1583.7370242214533
1,Flight,2023-05-01,SE,EU,264.57142857142856
1,Train,2023-09-01,ES,EU,13.761720904578045
3,Flight,2023-06-01,US,NA,1102.9411764705883
3,Flight,2023-07-01,LV,EU,258.82352941176475
3,Flight,2023-07-01,US,NA,1633.0459770114942
3,Flight,2023-03-01,GB,EU,154.34782608695653
3,Flight,2023-03-01,DE,EU,134.68834688346885
4,Flight,2023-02-01,US,NA,1492.7318295739349
4,Flight,2023-07-01,US,NA,1633.0459770114942
4,Flight,2023-04-01,GB,EU,154.54545454545453
5,Flight,2023-03-01,US,NA,1633.0459770114942
6,Flight,2023-12-01,CO,SA,1033.3333333333335
6,Train,2023-05-01,GB,EU,18.57926669956745
6,Train,2023-05-01,PL,EU,30.075187969924812
6,Train,2023-08-01,BE,EU,11.702678401133484
7,Train,2023-12-01,BE,EU,11.702678401133484
7,Flight,2023-06-01,CN,AS,1812.5
7,Train,2023-07-01,IS,EU,48.716260697827515
7,Flight,2023-11-01,AT,EU,185.05747126436785
8,Flight,2023-09-01,US,NA,2083.1533477321814
9,Train,2023-04-01,PL,EU,30.075187969924812
9,Flight,2023-12-01,FR,EU,98.78234398782344
9,Train,2023-08-01,DK,EU,22.45616556481748
10,Train,2023-03-01,AT,EU,18.883415435139575
10,Flight,2023-10-01,NZ,OC,1400.0
10,Flight,2023-01-01,BE,EU,114.68624833110815
11,Train,2023-10-01,DE,EU,13.662644876838188
12,Flight,2023-07-01,US,NA,2083.1533477321814
13,Train,2023-06-01,GB,EU,15.74977817213842
13,Flight,2023-09-01,US,NA,1492.7318295739349
13,Flight,2023-10-01,US,NA,1711.5384615384614
13,Train,2023-11-01,NL,EU,16.864741123179577
14,Train,2023-04-01,PT,EU,22.64030612244898
14,Flight,2023-04-01,US,NA,2083.1533477321814
15,Train,2023-06-01,IT,EU,16.784554730983302
15,Flight,2023-04-01,CA,NA,1208.9230769230767
15,Flight,2023-08-01,SE,EU,244.82758620689654
16,Flight,2023-12-01,IT,EU,184.61538461538458
16,Train,2023-07-01,IE,EU,20.77259475218659
17,Train,2023-07-01,GB,EU,23.308270676691727
17,Flight,2023-07-01,FR,EU,98.78234398782344
17,Train,2023-12-01,GR,EU,27.30918957178247
17,Flight,2023-11-01,NL,EU,165.27446300715988
20,Flight,2023-12-01,AE,AS,1516.7664670658683
20,Train,2023-03-01,GB,EU,18.57926669956745
21,Flight,2023-10-01,US,NA,1633.0459770114942
21,Train,2023-06-01,ES,EU,13.761720904578045
21,Flight,2023-11-01,US,NA,1492.7318295739349
22,Flight,2023-06-01,CN,AS,1675.3086419753088
22,Train,2023-08-01,FR,EU,10.459183673469386
22,Flight,2023-12-01,US,NA,2140.5109489051097
22,Train,2023-03-01,FR,EU,15.606242496998801
23,Flight,2023-11-01,FR,EU,98.78234398782344
23,Flight,2023-07-01,AE,AS,1516.7664670658683
24,Train,2023-08-01,BE,EU,11.702678401133484
24,Train,2023-11-01,DK,EU,22.45616556481748
24,Train,2023-04-01,RS,EU,17.96805678793256
24,Flight,2023-10-01,US,NA,1583.7370242214533
25,Flight,2023-06-01,CH,EU,39.30635838150289
27,Flight,2023-04-01,GB,EU,182.07681365576104
28,Train,2023-08-01,BE,EU,11.702678401133484
28,Flight,2023-04-01,US,NA,2083.1533477321814
29,Flight,2023-07-01,IE,EU,203.57142857142858
30,Flight,2023-03-01,BR,SA,1795.2380952380954
30,Flight,2023-05-01,BE,EU,114.68624833110815
30,Flight,2023-07-01,US,NA,133.33333333333334
31,Train,2023-05-01,NO,EU,29.640427599611264
31,Train,2023-05-01,SE,EU,26.997084548104954
32,Train,2023-01-01,PL,EU,30.075187969924812
33,Flight,2023-01-01,US,NA,2083.1533477321814
33,Flight,2023-09-01,CA,NA,1649.5798319327732
33,Flight,2023-01-01,ES,EU,134.86486486486484
33,Flight,2023-08-01,ES,EU,134.86486486486484
34,Flight,2023-07-01,UG,AF,1050.0
34,Flight,2023-07-01,TR,AS,752.2222222222223
34,Flight,2023-08-01,GB,EU,182.07681365576104
34,Flight,2023-01-01,FR,EU,98.18181818181819
35,Flight,2023-10-01,US,NA,1492.7318295739349
36,Flight,2023-01-01,DE,EU,134.68834688346885
36,Train,2023-10-01,GB,EU,18.57926669956745
37,Flight,2023-11-01,ES,EU,134.86486486486484
37,Train,2023-02-01,FR,EU,5.193148688046647
37,Flight,2023-03-01,BR,SA,1861.904761904762
37,Flight,2023-09-01,OM,AS,1814.2857142857142
37,Flight,2023-07-01,US,NA,2083.1533477321814
38,Flight,2023-04-01,DE,EU,134.68834688346885
38,Flight,2023-08-01,US,NA,1698.0000000000002
38,Flight,2023-07-01,CH,EU,39.30635838150289
40,Train,2023-10-01,CH,EU,4.010852896071723
40,Train,2023-10-01,HR,EU,14.527845036319611
40,Flight,2023-11-01,ES,EU,134.86486486486484
41,Flight,2023-10-01,US,NA,2140.5109489051097
41,Flight,2023-01-01,NL,EU,165.27446300715988
42,Flight,2023-01-01,NO,EU,216.66666666666669
42,Flight,2023-07-01,BE,EU,114.68624833110815
43,Flight,2023-11-01,GE,AS,200.0
